code,distance,noise_model,readout_ns,decoder,measure_error,num_shots,logical_error_rate,seconds
bacon,5,heron_highfid,200,bposd,0.22100820215836314,5000,0.4072,28.648070812225342
bacon,5,heron_highfid,400,bposd,0.05072477893499516,5000,0.0968,16.19279980659485
bacon,5,heron_highfid,600,bposd,0.03397763774713358,5000,0.0586,6.858984708786011
bacon,5,heron_highfid,800,bposd,0.03365302389666702,5000,0.0654,7.284348249435425
bacon,5,heron_highfid,1000,bposd,0.03281437895417039,5000,0.0576,9.230748176574707
bacon,7,heron_highfid,200,bposd,0.22100820215836314,5000,0.4964,102.80279350280762
bacon,7,heron_highfid,400,bposd,0.05072477893499516,5000,0.179,72.06220865249634
bacon,7,heron_highfid,600,bposd,0.03397763774713358,5000,0.114,68.59230709075928
bacon,7,heron_highfid,800,bposd,0.03365302389666702,5000,0.099,57.565961599349976
bacon,7,heron_highfid,1000,bposd,0.03281437895417039,5000,0.0976,71.3639645576477
bacon,9,heron_highfid,200,bposd,0.22100820215836314,5000,0.4924,213.10359954833984
bacon,9,heron_highfid,400,bposd,0.05072477893499516,5000,0.2864,192.98236846923828
bacon,9,heron_highfid,600,bposd,0.03397763774713358,5000,0.1668,163.61372184753418
bacon,9,heron_highfid,800,bposd,0.03365302389666702,5000,0.1652,161.9026963710785
bacon,9,heron_highfid,1000,bposd,0.03281437895417039,5000,0.1612,158.9378957748413
bacon,11,heron_highfid,200,bposd,0.22100820215836314,5000,0.4974,402.7507131099701
bacon,11,heron_highfid,400,bposd,0.05072477893499516,5000,0.3974,385.7228181362152
bacon,11,heron_highfid,600,bposd,0.03397763774713358,5000,0.242,445.92241501808167
bacon,11,heron_highfid,800,bposd,0.03365302389666702,5000,0.2344,423.3739001750946
bacon,11,heron_highfid,1000,bposd,0.03281437895417039,5000,0.2314,356.11539673805237
bacon,13,heron_highfid,200,bposd,0.22100820215836314,5000,0.506,977.4567844867706
bacon,13,heron_highfid,400,bposd,0.05072477893499516,5000,0.4516,805.2807750701904
bacon,13,heron_highfid,600,bposd,0.03397763774713358,5000,0.3288,779.9648032188416
bacon,13,heron_highfid,800,bposd,0.03365302389666702,5000,0.3242,789.1469509601593
bacon,13,heron_highfid,1000,bposd,0.03281437895417039,5000,0.32,856.4259161949158
color,5,heron_highfid,200,bposd,0.22100820215836314,5000,0.0468,22.350886583328247
color,5,heron_highfid,400,bposd,0.05072477893499516,5000,0.0272,15.13223648071289
color,5,heron_highfid,600,bposd,0.03397763774713358,5000,0.0252,15.401041984558105
color,5,heron_highfid,800,bposd,0.03365302389666702,5000,0.0274,16.39894461631775
color,5,heron_highfid,1000,bposd,0.03281437895417039,5000,0.0338,19.65378165245056
color,7,heron_highfid,200,bposd,0.22100820215836314,5000,0.2092,262.64735865592957
color,7,heron_highfid,400,bposd,0.05072477893499516,5000,0.1386,219.38348078727722
color,7,heron_highfid,600,bposd,0.03397763774713358,5000,0.1588,224.86401438713074
color,7,heron_highfid,800,bposd,0.03365302389666702,5000,0.1544,225.9806809425354
color,7,heron_highfid,1000,bposd,0.03281437895417039,5000,0.1628,187.23349833488464
color,9,heron_highfid,200,bposd,0.22100820215836314,5000,0.4742,826.592885017395
color,9,heron_highfid,400,bposd,0.05072477893499516,5000,0.4638,801.3892784118652
color,9,heron_highfid,600,bposd,0.03397763774713358,5000,0.469,865.8944280147552
color,9,heron_highfid,800,bposd,0.03365302389666702,5000,0.4692,812.145750284195
color,9,heron_highfid,1000,bposd,0.03281437895417039,5000,0.4618,798.007720708847
color,11,heron_highfid,200,bposd,0.22100820215836314,5000,0.4976,2628.042316198349
color,11,heron_highfid,400,bposd,0.05072477893499516,5000,0.4976,2794.434792995453
color,11,heron_highfid,600,bposd,0.03397763774713358,5000,0.5122,2970.537528514862
color,11,heron_highfid,800,bposd,0.03365302389666702,5000,0.5068,2749.7725918293
color,11,heron_highfid,1000,bposd,0.03281437895417039,5000,0.5042,2551.3540885448456
color,13,heron_highfid,200,bposd,0.22100820215836314,5000,0.4902,6444.304267168045
color,13,heron_highfid,400,bposd,0.05072477893499516,5000,0.5044,6875.377511978149
color,13,heron_highfid,600,bposd,0.03397763774713358,5000,0.4968,4736.8026242256165
color,13,heron_highfid,800,bposd,0.03365302389666702,5000,0.4964,6542.138923883438
color,13,heron_highfid,1000,bposd,0.03281437895417039,5000,0.498,5025.739471197128
gross,12,heron_highfid,200,bposd,0.22100820215836314,1000,1.0,1440.7774069309235
gross,12,heron_highfid,400,bposd,0.05072477893499516,1000,1.0,1822.92449092865
gross,12,heron_highfid,600,bposd,0.03397763774713358,1000,0.999,1835.5929210186005
gross,12,heron_highfid,800,bposd,0.03365302389666702,1000,1.0,1736.7768454551697
gross,12,heron_highfid,1000,bposd,0.03281437895417039,1000,1.0,1754.072866678238
hh,5,heron_highfid,200,mwpm,0.22100820215836314,50000,0.05138,1.3132009506225586
hh,5,heron_highfid,400,mwpm,0.05072477893499516,50000,0.02744,1.1923718452453613
hh,5,heron_highfid,600,mwpm,0.03397763774713358,50000,0.02726,1.6569271087646484
hh,5,heron_highfid,800,mwpm,0.03365302389666702,50000,0.02898,1.1560454368591309
hh,5,heron_highfid,1000,mwpm,0.03281437895417039,50000,0.03082,1.2813997268676758
hh,7,heron_highfid,200,mwpm,0.22100820215836314,50000,0.19838,5.027234792709351
hh,7,heron_highfid,400,mwpm,0.05072477893499516,50000,0.13844,4.29041314125061
hh,7,heron_highfid,600,mwpm,0.03397763774713358,50000,0.13596,4.380754232406616
hh,7,heron_highfid,800,mwpm,0.03365302389666702,50000,0.13826,4.420514822006226
hh,7,heron_highfid,1000,mwpm,0.03281437895417039,50000,0.14328,4.838043689727783
hh,9,heron_highfid,200,mwpm,0.22100820215836314,50000,0.4507,15.440409898757935
hh,9,heron_highfid,400,mwpm,0.05072477893499516,50000,0.41148,17.97354817390442
hh,9,heron_highfid,600,mwpm,0.03397763774713358,50000,0.40518,22.52085518836975
hh,9,heron_highfid,800,mwpm,0.03365302389666702,50000,0.41018,13.893301010131836
hh,9,heron_highfid,1000,mwpm,0.03281437895417039,50000,0.4143,18.83965754508972
hh,11,heron_highfid,200,mwpm,0.22100820215836314,50000,0.49282,37.0419979095459
hh,11,heron_highfid,400,mwpm,0.05072477893499516,50000,0.50008,40.29906439781189
hh,11,heron_highfid,600,mwpm,0.03397763774713358,50000,0.49734,37.28303503990173
hh,11,heron_highfid,800,mwpm,0.03365302389666702,50000,0.49756,44.18722867965698
hh,11,heron_highfid,1000,mwpm,0.03281437895417039,50000,0.49674,46.90142869949341
hh,13,heron_highfid,200,mwpm,0.22100820215836314,50000,0.50194,90.23840308189392
hh,13,heron_highfid,400,mwpm,0.05072477893499516,50000,0.50188,82.97698879241943
hh,13,heron_highfid,600,mwpm,0.03397763774713358,50000,0.49868,80.32225966453552
hh,13,heron_highfid,800,mwpm,0.03365302389666702,50000,0.4991,94.6880292892456
hh,13,heron_highfid,1000,mwpm,0.03281437895417039,50000,0.49954,91.92624092102051
steane,9,heron_highfid,200,bposd,0.22100820215836314,5000,0.2428,188.1957094669342
steane,9,heron_highfid,400,bposd,0.05072477893499516,5000,0.2316,169.34251952171326
steane,9,heron_highfid,600,bposd,0.03397763774713358,5000,0.2284,184.61245894432068
steane,9,heron_highfid,800,bposd,0.03365302389666702,5000,0.2346,198.64848041534424
steane,9,heron_highfid,1000,bposd,0.03281437895417039,5000,0.2364,151.96620869636536
surface,5,heron_highfid,200,mwpm,0.22100820215836314,50000,0.02192,2.2105045318603516
surface,5,heron_highfid,400,mwpm,0.05072477893499516,50000,0.0096,1.4813756942749023
surface,5,heron_highfid,600,mwpm,0.03397763774713358,50000,0.00958,1.6573362350463867
surface,5,heron_highfid,800,mwpm,0.03365302389666702,50000,0.01046,1.2615149021148682
surface,5,heron_highfid,1000,mwpm,0.03281437895417039,50000,0.0114,1.664618968963623
surface,7,heron_highfid,200,mwpm,0.22100820215836314,50000,0.0954,4.967334508895874
surface,7,heron_highfid,400,mwpm,0.05072477893499516,50000,0.06112,5.094572067260742
surface,7,heron_highfid,600,mwpm,0.03397763774713358,50000,0.06054,3.8754584789276123
surface,7,heron_highfid,800,mwpm,0.03365302389666702,50000,0.06578,5.58457088470459
surface,7,heron_highfid,1000,mwpm,0.03281437895417039,50000,0.06692,5.21837043762207
surface,9,heron_highfid,200,mwpm,0.22100820215836314,50000,0.35806,21.36102294921875
surface,9,heron_highfid,400,mwpm,0.05072477893499516,50000,0.30536,17.550894260406494
surface,9,heron_highfid,600,mwpm,0.03397763774713358,50000,0.30294,13.022513389587402
surface,9,heron_highfid,800,mwpm,0.03365302389666702,50000,0.31136,17.97105836868286
surface,9,heron_highfid,1000,mwpm,0.03281437895417039,50000,0.31976,15.586414813995361
surface,11,heron_highfid,200,mwpm,0.22100820215836314,50000,0.49824,46.84022235870361
surface,11,heron_highfid,400,mwpm,0.05072477893499516,50000,0.49452,37.158042907714844
surface,11,heron_highfid,600,mwpm,0.03397763774713358,50000,0.49122,52.47245383262634
surface,11,heron_highfid,800,mwpm,0.03365302389666702,50000,0.49384,55.65664792060852
surface,11,heron_highfid,1000,mwpm,0.03281437895417039,50000,0.49482,44.887645959854126
surface,13,heron_highfid,200,mwpm,0.22100820215836314,50000,0.50442,121.62841200828552
surface,13,heron_highfid,400,mwpm,0.05072477893499516,50000,0.49854,102.46055245399475
surface,13,heron_highfid,600,mwpm,0.03397763774713358,50000,0.50216,119.95461559295654
surface,13,heron_highfid,800,mwpm,0.03365302389666702,50000,0.49898,110.8987648487091
surface,13,heron_highfid,1000,mwpm,0.03281437895417039,50000,0.49808,105.08355712890625
