code,distance,noise_model,readout_ns,decoder,measure_error,num_shots,logical_error_rate,seconds
hh,9,futuristic_fixedreadout,200,mwpm,0.22100820215836314,50000,0.03112,10.847455978393555
hh,9,futuristic_fixedreadout,400,mwpm,0.05072477893499516,50000,0.03246,10.879087686538696
hh,9,futuristic_fixedreadout,600,mwpm,0.03397763774713358,50000,0.0325,10.255323886871338
hh,9,futuristic_fixedreadout,800,mwpm,0.03365302389666702,50000,0.03186,10.381076097488403
hh,9,futuristic_fixedreadout,1000,mwpm,0.03281437895417039,50000,0.03348,10.718054294586182
hh,11,futuristic_fixedreadout,200,mwpm,0.22100820215836314,50000,0.12128,26.311588287353516
hh,11,futuristic_fixedreadout,400,mwpm,0.05072477893499516,50000,0.1222,24.904227256774902
hh,11,futuristic_fixedreadout,600,mwpm,0.03397763774713358,50000,0.12278,28.182672262191772
hh,11,futuristic_fixedreadout,800,mwpm,0.03365302389666702,50000,0.12512,24.839680433273315
hh,11,futuristic_fixedreadout,1000,mwpm,0.03281437895417039,50000,0.128,22.322108507156372
hh,13,futuristic_fixedreadout,200,mwpm,0.22100820215836314,50000,0.33528,53.83984160423279
hh,13,futuristic_fixedreadout,400,mwpm,0.05072477893499516,50000,0.33716,53.088263511657715
hh,13,futuristic_fixedreadout,600,mwpm,0.03397763774713358,50000,0.3384,46.39035415649414
hh,13,futuristic_fixedreadout,800,mwpm,0.03365302389666702,50000,0.345,37.511321783065796
hh,13,futuristic_fixedreadout,1000,mwpm,0.03281437895417039,50000,0.34386,42.15380024909973
steane,9,futuristic_fixedreadout,200,bposd,0.22100820215836314,5000,0.0878,81.41639113426208
steane,9,futuristic_fixedreadout,400,bposd,0.05072477893499516,5000,0.0926,72.995126247406
steane,9,futuristic_fixedreadout,600,bposd,0.03397763774713358,5000,0.0906,86.79382586479187
steane,9,futuristic_fixedreadout,800,bposd,0.03365302389666702,5000,0.0918,82.75600218772888
steane,9,futuristic_fixedreadout,1000,bposd,0.03281437895417039,5000,0.0998,84.23872470855713
surface,5,futuristic_fixedreadout,200,mwpm,0.22100820215836314,50000,0.00048,0.9888732433319092
