code,distance,noise_model,readout_ns,decoder,measure_error,num_shots,logical_error_rate,seconds
bacon,13,decoherence_only,600,bposd,0.05059445028330967,5000,0.0,17.646495580673218
bacon,13,decoherence_only,800,bposd,0.045084008455954505,5000,0.0,10.54276418685913
bacon,13,decoherence_only,1000,bposd,0.04283659147231211,5000,0.0,23.179792881011963
bacon,13,heron_cnn,200,bposd,0.2034041393624929,5000,0.497,1749.8334379196167
bacon,13,heron_cnn,400,bposd,0.07895490215535028,5000,0.496,1955.183705329895
bacon,13,heron_cnn,600,bposd,0.05059445028330967,5000,0.5008,1925.1030864715576
bacon,13,heron_cnn,800,bposd,0.045084008455954505,5000,0.4928,1862.9191977977753
bacon,13,heron_cnn,1000,bposd,0.04283659147231211,5000,0.5084,2154.2855772972107
bacon,13,readout_decoherence,200,bposd,0.2034041393624929,5000,0.4964,1716.4304749965668
bacon,13,readout_decoherence,400,bposd,0.07895490215535028,5000,0.4918,2260.5228731632233
bacon,13,readout_decoherence,600,bposd,0.05059445028330967,5000,0.4966,2097.7654976844788
bacon,13,readout_decoherence,800,bposd,0.045084008455954505,5000,0.4938,1976.321956396103
bacon,13,readout_decoherence,1000,bposd,0.04283659147231211,5000,0.4932,2082.1339399814606
color,5,decoherence_only,200,bposd,0.2034041393624929,5000,0.0202,11.339014053344727
color,5,decoherence_only,400,bposd,0.07895490215535028,5000,0.0166,13.554039001464844
color,5,decoherence_only,600,bposd,0.05059445028330967,5000,0.0234,15.29264521598816
color,5,decoherence_only,800,bposd,0.045084008455954505,5000,0.023,15.361244440078735
color,5,decoherence_only,1000,bposd,0.04283659147231211,5000,0.0274,15.767719507217407
color,5,heron_cnn,200,bposd,0.2034041393624929,5000,0.4172,46.825480699539185
color,5,heron_cnn,400,bposd,0.07895490215535028,5000,0.1748,23.63311243057251
color,5,heron_cnn,600,bposd,0.05059445028330967,5000,0.1028,32.53174304962158
color,5,heron_cnn,800,bposd,0.045084008455954505,5000,0.0958,31.88080382347107
color,5,heron_cnn,1000,bposd,0.04283659147231211,5000,0.0966,29.784179210662842
color,5,readout_decoherence,200,bposd,0.2034041393624929,5000,0.429,39.18889927864075
color,5,readout_decoherence,400,bposd,0.07895490215535028,5000,0.1794,34.318498849868774
color,5,readout_decoherence,600,bposd,0.05059445028330967,5000,0.0968,30.271111488342285
color,5,readout_decoherence,800,bposd,0.045084008455954505,5000,0.0946,31.365217208862305
color,5,readout_decoherence,1000,bposd,0.04283659147231211,5000,0.091,30.39420485496521
color,7,decoherence_only,200,bposd,0.2034041393624929,5000,0.1228,335.3847186565399
color,7,decoherence_only,400,bposd,0.07895490215535028,5000,0.136,294.92908358573914
color,7,decoherence_only,600,bposd,0.05059445028330967,5000,0.1382,328.5419445037842
color,7,decoherence_only,800,bposd,0.045084008455954505,5000,0.1436,305.34202003479004
color,7,decoherence_only,1000,bposd,0.04283659147231211,5000,0.1448,313.6983337402344
color,7,heron_cnn,200,bposd,0.2034041393624929,5000,0.4882,411.55244636535645
color,7,heron_cnn,400,bposd,0.07895490215535028,5000,0.343,345.4643437862396
color,7,heron_cnn,600,bposd,0.05059445028330967,5000,0.2956,351.0185399055481
color,7,heron_cnn,800,bposd,0.045084008455954505,5000,0.2762,307.6744601726532
color,7,heron_cnn,1000,bposd,0.04283659147231211,5000,0.2824,361.047269821167
color,7,readout_decoherence,200,bposd,0.2034041393624929,5000,0.4876,415.1404049396515
color,7,readout_decoherence,400,bposd,0.07895490215535028,5000,0.3472,359.23892974853516
color,7,readout_decoherence,600,bposd,0.05059445028330967,5000,0.277,375.28614020347595
color,7,readout_decoherence,800,bposd,0.045084008455954505,5000,0.287,364.283714056015
color,7,readout_decoherence,1000,bposd,0.04283659147231211,5000,0.2806,362.0305986404419
color,9,decoherence_only,200,bposd,0.2034041393624929,5000,0.447,1832.642219543457
color,9,decoherence_only,400,bposd,0.07895490215535028,5000,0.4602,1815.7953073978424
color,9,decoherence_only,600,bposd,0.05059445028330967,5000,0.4586,1944.3713645935059
color,9,decoherence_only,800,bposd,0.045084008455954505,5000,0.459,1956.6716885566711
color,9,decoherence_only,1000,bposd,0.04283659147231211,5000,0.465,2201.7476098537445
color,9,heron_cnn,200,bposd,0.2034041393624929,5000,0.4898,1648.3253409862518
color,9,heron_cnn,400,bposd,0.07895490215535028,5000,0.4854,2014.1032195091248
color,9,heron_cnn,600,bposd,0.05059445028330967,5000,0.4988,1947.1161439418793
color,9,heron_cnn,800,bposd,0.045084008455954505,5000,0.4818,2435.6195030212402
color,9,heron_cnn,1000,bposd,0.04283659147231211,5000,0.4874,1955.5303409099579
color,9,readout_decoherence,200,bposd,0.2034041393624929,5000,0.4952,1672.7638411521912
color,9,readout_decoherence,400,bposd,0.07895490215535028,5000,0.4936,1714.354828119278
color,9,readout_decoherence,600,bposd,0.05059445028330967,5000,0.4986,1713.82550740242
color,9,readout_decoherence,800,bposd,0.045084008455954505,5000,0.4836,1871.4814178943634
color,9,readout_decoherence,1000,bposd,0.04283659147231211,5000,0.4956,1823.0449454784393
color,11,decoherence_only,200,bposd,0.2034041393624929,5000,0.508,7033.6680607795715
color,11,decoherence_only,400,bposd,0.07895490215535028,5000,0.5098,7046.831768035889
color,11,decoherence_only,600,bposd,0.05059445028330967,5000,0.5084,5827.191375494003
color,11,decoherence_only,800,bposd,0.045084008455954505,5000,0.497,6772.008455276489
color,11,decoherence_only,1000,bposd,0.04283659147231211,5000,0.5024,6896.204735517502
color,11,heron_cnn,200,bposd,0.2034041393624929,5000,0.5,5327.179474592209
color,11,heron_cnn,400,bposd,0.07895490215535028,5000,0.5034,6346.521281719208
color,11,heron_cnn,600,bposd,0.05059445028330967,5000,0.5148,6256.867014884949
color,11,heron_cnn,800,bposd,0.045084008455954505,5000,0.487,5472.536825656891
color,11,heron_cnn,1000,bposd,0.04283659147231211,5000,0.4944,5981.962903499603
color,11,readout_decoherence,200,bposd,0.2034041393624929,5000,0.5094,5878.711976766586
