code,distance,discriminator,readout_ns,decoder,measure_error,num_shots,logical_error_rate,seconds
bacon,9,Baseline FNN,200,bposd,0.20051893871986848,5000,0.4954,192.6922779083252
bacon,9,Baseline FNN,400,bposd,0.07366388416469194,5000,0.4938,194.00602078437805
bacon,9,Baseline FNN,600,bposd,0.05231026846751419,5000,0.5016,184.67665481567383
bacon,9,Baseline FNN,800,bposd,0.046879600760205364,5000,0.5012,206.29107999801636
bacon,9,Baseline FNN,1000,bposd,0.04525326822887765,5000,0.5006,194.03993153572083
bacon,9,HERQULES,200,bposd,0.24051087856633757,5000,0.501,114.71599435806274
bacon,9,HERQULES,400,bposd,0.0833651752293818,5000,0.5074,208.30384039878845
bacon,9,HERQULES,600,bposd,0.05683895675797035,5000,0.4902,204.52629256248474
bacon,9,HERQULES,800,bposd,0.05106011760766893,5000,0.5,195.4505672454834
bacon,9,HERQULES,1000,bposd,0.04879200360757896,5000,0.5132,205.62133026123047
bacon,9,KLiNQ,200,bposd,0.20143514248691097,5000,0.5156,171.9333713054657
bacon,9,KLiNQ,400,bposd,0.07573414929844002,5000,0.505,206.34249329566956
bacon,9,KLiNQ,600,bposd,0.05742763610684831,5000,0.4872,120.69739270210266
bacon,9,KLiNQ,800,bposd,0.05402209678847136,5000,0.4948,201.23745322227478
bacon,9,KLiNQ,1000,bposd,0.054473737411942724,5000,0.4976,202.084805727005
bacon,9,Linear Threshold,200,bposd,0.2327580834004539,5000,0.5008,194.47015237808228
bacon,9,Linear Threshold,400,bposd,0.08759753740157017,5000,0.498,203.14896726608276
bacon,9,Linear Threshold,600,bposd,0.06207166194613345,5000,0.5124,203.74677801132202
bacon,9,Linear Threshold,800,bposd,0.059463878953298854,5000,0.4958,206.66362714767456
bacon,9,Linear Threshold,1000,bposd,0.06167750963765528,5000,0.4964,206.12879276275635
bacon,9,MCMit-T,200,bposd,0.20032875150209317,5000,0.4952,183.56214141845703
bacon,9,MCMit-T,400,bposd,0.07233704114844186,5000,0.497,204.01926445960999
bacon,9,MCMit-T,600,bposd,0.050591969458955055,5000,0.5112,181.24704265594482
bacon,9,MCMit-T,800,bposd,0.0445838395999123,5000,0.498,200.00966548919678
bacon,9,MCMit-T,1000,bposd,0.04339107151534316,5000,0.507,205.1751139163971
bacon,9,QubiCML,200,bposd,0.23374178212014463,5000,0.5044,197.67623710632324
bacon,9,QubiCML,400,bposd,0.0865950271158008,5000,0.498,201.59532022476196
bacon,9,QubiCML,600,bposd,0.06126199365444973,5000,0.5044,190.42957043647766
bacon,9,QubiCML,800,bposd,0.0586719829583493,5000,0.5018,206.74327659606934
bacon,9,QubiCML,1000,bposd,0.06139363663472108,5000,0.4934,206.11029624938965
color,9,Baseline FNN,200,bposd,0.20051893871986848,5000,0.4998,709.374871969223
color,9,Baseline FNN,400,bposd,0.07366388416469194,5000,0.4898,774.9940981864929
color,9,Baseline FNN,600,bposd,0.05231026846751419,5000,0.4902,685.1566157341003
color,9,Baseline FNN,800,bposd,0.046879600760205364,5000,0.4814,688.7979512214661
color,9,Baseline FNN,1000,bposd,0.04525326822887765,5000,0.4988,677.0744345188141
color,9,HERQULES,200,bposd,0.24051087856633757,5000,0.4896,638.8672239780426
color,9,HERQULES,400,bposd,0.0833651752293818,5000,0.495,737.0158562660217
color,9,HERQULES,600,bposd,0.05683895675797035,5000,0.499,692.4353504180908
color,9,HERQULES,800,bposd,0.05106011760766893,5000,0.4916,783.5547316074371
color,9,HERQULES,1000,bposd,0.04879200360757896,5000,0.4798,755.9301381111145
color,9,KLiNQ,200,bposd,0.20143514248691097,5000,0.4982,672.1863520145416
color,9,KLiNQ,400,bposd,0.07573414929844002,5000,0.4918,662.0186517238617
color,9,KLiNQ,600,bposd,0.05742763610684831,5000,0.4976,795.8427836894989
color,9,KLiNQ,800,bposd,0.05402209678847136,5000,0.5,684.584813117981
color,9,KLiNQ,1000,bposd,0.054473737411942724,5000,0.51,795.501784324646
color,9,Linear Threshold,200,bposd,0.2327580834004539,5000,0.4992,614.7480013370514
color,9,Linear Threshold,400,bposd,0.08759753740157017,5000,0.501,650.5162477493286
color,9,Linear Threshold,600,bposd,0.06207166194613345,5000,0.492,734.2471740245819
color,9,Linear Threshold,800,bposd,0.059463878953298854,5000,0.4998,638.7622339725494
color,9,Linear Threshold,1000,bposd,0.06167750963765528,5000,0.4918,747.7152588367462
color,9,MCMit-T,200,bposd,0.20032875150209317,5000,0.496,662.2382307052612
color,9,MCMit-T,400,bposd,0.07233704114844186,5000,0.49,655.1217317581177
color,9,MCMit-T,600,bposd,0.050591969458955055,5000,0.4826,819.5425431728363
color,9,MCMit-T,800,bposd,0.0445838395999123,5000,0.4854,794.1233999729156
color,9,MCMit-T,1000,bposd,0.04339107151534316,5000,0.4966,801.1371214389801
color,9,QubiCML,200,bposd,0.23374178212014463,5000,0.4992,660.4200720787048
color,9,QubiCML,400,bposd,0.0865950271158008,5000,0.5014,658.210028886795
color,9,QubiCML,600,bposd,0.06126199365444973,5000,0.4942,653.6656866073608
color,9,QubiCML,800,bposd,0.0586719829583493,5000,0.4972,720.4933795928955
color,9,QubiCML,1000,bposd,0.06139363663472108,5000,0.4962,732.7339329719543
hh,9,Baseline FNN,200,mwpm,0.20051893871986848,20000,0.49945,10.219932317733765
hh,9,Baseline FNN,400,mwpm,0.07366388416469194,20000,0.4988,7.215879440307617
hh,9,Baseline FNN,600,mwpm,0.05231026846751419,20000,0.4907,6.729623794555664
hh,9,Baseline FNN,800,mwpm,0.046879600760205364,20000,0.48725,8.139766693115234
hh,9,Baseline FNN,1000,mwpm,0.04525326822887765,20000,0.48165,9.525336742401123
hh,9,HERQULES,200,mwpm,0.24051087856633757,20000,0.5064,16.066676378250122
hh,9,HERQULES,400,mwpm,0.0833651752293818,20000,0.49535,11.33211874961853
hh,9,HERQULES,600,mwpm,0.05683895675797035,20000,0.48365,10.493951559066772
