code,distance,discriminator,readout_ns,decoder,measure_error,num_shots,logical_error_rate,seconds
bacon,5,Baseline FNN,200,bposd,0.20051893871986848,5000,0.5086,17.394484996795654
bacon,5,Baseline FNN,400,bposd,0.07366388416469194,5000,0.5002,16.48868417739868
bacon,5,Baseline FNN,600,bposd,0.05231026846751419,5000,0.4928,19.378549337387085
bacon,5,Baseline FNN,800,bposd,0.046879600760205364,5000,0.4874,20.089226007461548
bacon,5,Baseline FNN,1000,bposd,0.04525326822887765,5000,0.4896,17.501404762268066
bacon,5,HERQULES,200,bposd,0.24051087856633757,5000,0.5026,18.570614099502563
bacon,5,HERQULES,400,bposd,0.0833651752293818,5000,0.5042,17.30713701248169
bacon,5,HERQULES,600,bposd,0.05683895675797035,5000,0.4962,17.484086513519287
bacon,5,HERQULES,800,bposd,0.05106011760766893,5000,0.5042,18.540979623794556
bacon,5,HERQULES,1000,bposd,0.04879200360757896,5000,0.502,19.617135047912598
bacon,5,KLiNQ,200,bposd,0.20143514248691097,5000,0.4992,14.075221061706543
bacon,5,KLiNQ,400,bposd,0.07573414929844002,5000,0.4948,15.664335012435913
bacon,5,KLiNQ,600,bposd,0.05742763610684831,5000,0.4942,17.97797131538391
bacon,5,KLiNQ,800,bposd,0.05402209678847136,5000,0.4912,18.861390113830566
bacon,5,KLiNQ,1000,bposd,0.054473737411942724,5000,0.5026,17.993081092834473
bacon,5,Linear Threshold,200,bposd,0.2327580834004539,5000,0.5068,18.113485097885132
bacon,5,Linear Threshold,400,bposd,0.08759753740157017,5000,0.497,17.810101985931396
bacon,5,Linear Threshold,600,bposd,0.06207166194613345,5000,0.4966,14.814016103744507
bacon,5,Linear Threshold,800,bposd,0.059463878953298854,5000,0.5062,17.675729990005493
bacon,5,Linear Threshold,1000,bposd,0.06167750963765528,5000,0.5014,16.303436279296875
bacon,5,MCMit-T,200,bposd,0.20032875150209317,5000,0.5038,17.58243680000305
bacon,5,MCMit-T,400,bposd,0.07233704114844186,5000,0.5104,16.666524171829224
bacon,5,MCMit-T,600,bposd,0.050591969458955055,5000,0.4914,18.635096549987793
bacon,5,MCMit-T,800,bposd,0.0445838395999123,5000,0.496,19.321288347244263
bacon,5,MCMit-T,1000,bposd,0.04339107151534316,5000,0.4756,19.949650526046753
bacon,5,QubiCML,200,bposd,0.23374178212014463,5000,0.5046,18.16628932952881
bacon,5,QubiCML,400,bposd,0.0865950271158008,5000,0.5066,17.19495463371277
bacon,5,QubiCML,600,bposd,0.06126199365444973,5000,0.5128,17.305912971496582
bacon,5,QubiCML,800,bposd,0.0586719829583493,5000,0.4924,17.542991876602173
bacon,5,QubiCML,1000,bposd,0.06139363663472108,5000,0.4896,16.538119077682495
color,5,Baseline FNN,200,bposd,0.20051893871986848,5000,0.424,45.91539287567139
color,5,Baseline FNN,400,bposd,0.07366388416469194,5000,0.1546,35.48466897010803
color,5,Baseline FNN,600,bposd,0.05231026846751419,5000,0.1122,30.96216869354248
color,5,Baseline FNN,800,bposd,0.046879600760205364,5000,0.101,29.498558282852173
color,5,Baseline FNN,1000,bposd,0.04525326822887765,5000,0.1032,32.48124957084656
color,5,HERQULES,200,bposd,0.24051087856633757,5000,0.4586,46.10325527191162
color,5,HERQULES,400,bposd,0.0833651752293818,5000,0.1842,31.502689361572266
color,5,HERQULES,600,bposd,0.05683895675797035,5000,0.1188,32.21423411369324
color,5,HERQULES,800,bposd,0.05106011760766893,5000,0.1136,27.99013090133667
color,5,HERQULES,1000,bposd,0.04879200360757896,5000,0.1082,33.268332958221436
color,5,KLiNQ,200,bposd,0.20143514248691097,5000,0.4256,47.664302110672
color,5,KLiNQ,400,bposd,0.07573414929844002,5000,0.1744,36.22537803649902
color,5,KLiNQ,600,bposd,0.05742763610684831,5000,0.1188,33.072267293930054
color,5,KLiNQ,800,bposd,0.05402209678847136,5000,0.1156,32.1463303565979
color,5,KLiNQ,1000,bposd,0.054473737411942724,5000,0.1242,33.44688630104065
color,5,Linear Threshold,200,bposd,0.2327580834004539,5000,0.453,43.773022174835205
color,5,Linear Threshold,400,bposd,0.08759753740157017,5000,0.2006,21.332338333129883
color,5,Linear Threshold,600,bposd,0.06207166194613345,5000,0.1288,34.48223352432251
color,5,Linear Threshold,800,bposd,0.059463878953298854,5000,0.1206,32.61909747123718
color,5,Linear Threshold,1000,bposd,0.06167750963765528,5000,0.131,35.326069831848145
color,5,MCMit-T,200,bposd,0.20032875150209317,5000,0.428,46.22868847846985
color,5,MCMit-T,400,bposd,0.07233704114844186,5000,0.1576,34.667847633361816
color,5,MCMit-T,600,bposd,0.050591969458955055,5000,0.1078,31.9297776222229
color,5,MCMit-T,800,bposd,0.0445838395999123,5000,0.0978,28.558181285858154
color,5,MCMit-T,1000,bposd,0.04339107151534316,5000,0.1018,30.929895639419556
color,5,QubiCML,200,bposd,0.23374178212014463,5000,0.4638,35.73755097389221
color,5,QubiCML,400,bposd,0.0865950271158008,5000,0.1956,37.67085003852844
color,5,QubiCML,600,bposd,0.06126199365444973,5000,0.13,33.74981117248535
color,5,QubiCML,800,bposd,0.0586719829583493,5000,0.1276,33.907407999038696
color,5,QubiCML,1000,bposd,0.06139363663472108,5000,0.1284,34.78541326522827
gross,12,Baseline FNN,200,bposd,0.20051893871986848,1000,1.0,1356.4399027824402
gross,12,Baseline FNN,400,bposd,0.07366388416469194,1000,1.0,1326.8787908554077
gross,12,Baseline FNN,600,bposd,0.05231026846751419,1000,1.0,1465.202260017395
gross,12,Baseline FNN,800,bposd,0.046879600760205364,1000,1.0,1461.3152315616608
gross,12,Baseline FNN,1000,bposd,0.04525326822887765,1000,1.0,1432.6947498321533
gross,12,HERQULES,200,bposd,0.24051087856633757,1000,1.0,1104.3096449375153
gross,12,HERQULES,400,bposd,0.0833651752293818,1000,1.0,1259.3474464416504
gross,12,HERQULES,600,bposd,0.05683895675797035,1000,1.0,1425.7999358177185
gross,12,HERQULES,800,bposd,0.05106011760766893,1000,0.998,1442.1756224632263
gross,12,HERQULES,1000,bposd,0.04879200360757896,1000,1.0,1442.5289161205292
gross,12,KLiNQ,200,bposd,0.20143514248691097,1000,1.0,1310.4997630119324
gross,12,KLiNQ,400,bposd,0.07573414929844002,1000,1.0,1275.2196435928345
gross,12,KLiNQ,600,bposd,0.05742763610684831,1000,1.0,1411.5343022346497
gross,12,KLiNQ,800,bposd,0.05402209678847136,1000,1.0,1460.9001741409302
gross,12,KLiNQ,1000,bposd,0.054473737411942724,1000,1.0,1425.4619467258453
gross,12,Linear Threshold,200,bposd,0.2327580834004539,1000,1.0,1124.2044689655304
gross,12,Linear Threshold,400,bposd,0.08759753740157017,1000,0.999,1233.1698167324066
gross,12,Linear Threshold,600,bposd,0.06207166194613345,1000,1.0,1361.3947007656097
gross,12,Linear Threshold,800,bposd,0.059463878953298854,1000,1.0,1394.9798245429993
gross,12,Linear Threshold,1000,bposd,0.06167750963765528,1000,1.0,1406.0409007072449
gross,12,MCMit-T,200,bposd,0.20032875150209317,1000,1.0,1321.8578355312347
gross,12,MCMit-T,400,bposd,0.07233704114844186,1000,1.0,1323.9934613704681
